perplex |  v. 使...困惑, 使...更复杂, 使...为难
resolution |  n.决心； 解决； 坚决； 分辨率
glove |  n. 手套 // vt. 给...戴手套
painter |  n. 画家
world |  n. 世界(人),领域,俗世
carry |  n. 搬运, 射程, 投射, 联运 // vt. 负载, 运输, 传送, 传播, 表达, 带有, 容纳, 承担, 怀孕, 延续, 推动, 赢得, 记录 // vi. 负载, 被传达, 容许被运输, 被通过
threaten |  vt. &vi. 威胁,构成威胁
certificate |  n. 证(明)书,执照 // vt. 批准，认可，发证书给...
opening |  n. 开始, 口, 揭幕, 空缺的职务 // vbl. 打开, 开放, 开始
plug |  n. 塞子,消防栓,电插头 // vt. 塞住,射杀,宣传 // vi. 射杀,持续的工作
dawn |  n. 破晓，开端 // vi. 破晓,逐渐明白
criticism |  n. 批评,评论
structure |  n. 结构,构造,建筑物 // v. 构成,建立,建造
just |  adj. 公正的,公平的,恰当的 // adv. 正好,恰好
stationary |  adj. 不动的(稳定的) // n. 固定物(驻军)
grip |  n.  紧握,了解,手柄,手提包 // vt. 紧抓,吸引
cave |  n. 山洞 // v. (使)凹陷 // vi. (in)塌落,倒坍
sometimes |  adv. 有时
chest |  n. 胸, 大箱子, 金库, 资金, 一箱, 密封室, 衣橱
good |  n. 善行,好处 // adj. 好的,优良的,上等的 // [pl.]商品
horror |  adj. 恐怖的,令人毛骨悚然的 // n. 恐怖,战栗,厌恶
draw |  v. (drew, drawn) 拉, 拖, 挨近, 提取, 画, 绘制 // n. 平局; 抽签; 拉, 拽吸引人的事物
dine |  v. 用正餐,进餐
shave |  n. 修面,刮胡子 // vt. 修面,剃,擦过,消减价格 // vi. 刮胡子,勉强通过
bracket |  n. 支架, 括号, 档次 // vt. 支撑, 放在括号内, 归入一类, 包含, 支持
potential |  adj.潜在的，有可能的； [语法学]可能语气的，表示可能性的； 有能力的 // n.潜力，潜能； [物]电位，势能； 潜能的事物； [语]可能语气
attack |  vt.& vi.攻击，进攻，抨击 // n.攻击； 抨击； （队员等的）进攻； （疾病）侵袭 // vt.抨击； 非难； 侵袭； 损害
exposure |  n. 面临（困难），显露，暴露,揭露,曝光
jam |  n. 果酱,拥塞之物,堵塞, 窘境 // vt. &vi. 挤,塞满,混杂
badminton |  n. 羽毛球
liberate |  v. 解放, 使获得自由, 释出, 放出 // vt. 解放, 使获自由
obstacle |  n. 障碍,绊脚石
provision |  n. 规定, 条款; 供应(品); 预备 // n. (pl.) 食物 // vt. 向...供应食物
underline |  v. 在...下面划线
sit |  vt. 坐,担任,开会,孵 // vi. 坐,孵 // n. 坐
woman |  n. 妇女, 女人
consumption |  n. 消费
warehouse |  n. 仓库 // vt. 存入仓库
living |  adj. 活着的 // n. 生活, 生计
simplify |  v. 简化, 使单纯 // vt. 简化
faith |  n. 信任,信仰
fur |  n. 毛皮服饰,毛皮制品,毛皮
group |  n. 团体,组,团 // vt. &vi. 聚合,成群 // [计算机] 成组
ignorant |  adj. 不知道的, 无知的, 愚昧的
begin |  vt.& vi.开始； 着手； 创始； 创办 // vi.（从…）开始； 起始； 起初是； 开始讲话
ignite |  vi. 着火, 发光 // vt. 点燃, 使...燃烧, 引发
view |  n. 视野,风景,见解,方法,检查 // vt. 把...视为,看,考虑
respect |  n. 尊敬, 敬重; 关系, 方面 // vt. 尊敬, 尊重; 关于, 涉及
bearing |  n. [机] 轴承；关系；方位；举止 // v. 忍受（bear的ing形式）
duplicate |  n. 副本,复制品 // adj. 复制的,二重的 // vt. 复制,重复 // vi. 重复 // [计算机] 复制
refute |  vt.驳斥，驳倒； 否认真实性
traffic |  n.交通，运输量； （非法的）交易； 通信量； 交际 // vt.用…作交换； 在…通行 // vi.交易； 买卖
ought |  conj. 应该, 大概
bull |  adj. 大型的,公牛的,雄性的 // n. 公牛,买空着,像牛的东西,斗牛犬,教宗训谕,法令 // vi. 猛冲 // vt. 暴力,强制
indignation |  n. 愤怒, 愤慨, 义愤
sample |  n. 样品,标本 // vt. 采样,品尝 // adj. 样例的
boot |  n. 靴子,[英]汽车行李箱,猛踢, 锁扣 // vt. 踢, 穿靴子,锁车 // vi. 启动（计算机),在（通常为非法停放的汽车）车轮上装制动装置, 利用, 帮助
pine |  n. 松树,松木 // vi. 消瘦,憔悴,渴望
segregate |  adj. 分离的, 被隔离的 // v. 分离, 隔离, 分凝
dominant |  adj. 占优势的，主导的，显性的 // n. 主宰者
crazy |  adj. 疯狂的，荒唐的 // n. 荒唐的人 // adv. 疯狂地
late |  adj. 迟的,晚的,已故的 // adv. 很晚,很迟,晚, 最近地
sideways |  adv. 向旁边, 斜地里, 向侧面地 // adj. 旁边的, 向侧面的
consent |  n. 同意, 许可 // v. 同意, 承诺
leadership |  n. 领导, 领导才干
aside |  n. 旁白,顺便说的话 // adv. 在一边,另外,离开
wisdom |  n. 智慧,学问
revolve |  vt. &vi. 旋转,考虑,循环
lively |  活泼的, 活跃的, 栩栩如生的, 真实的
lie |  n. 谎言 // v. 躺着, 说谎, 位于
hypothesis |  n. 假设, 猜测, 前提
advance |  n. 前进,进步,预支 // vt. 前进，增涨，预先 // vi. 前进，提升 // adj. 预先的，提前的
shield |  n. 盾,防卫物,盾状物 // vt. 保护,遮蔽
avoid |  v. 避免 // vt. 避免,逃避
chip |  n. 薄片,碎屑，芯片 // vt. 削,切,削成碎片 // vi. 折断成碎片
restrict |  v. 限制,约束
probability |  n. 可能性, 或然率, 机率
powder |  n. 粉,粉末,细雪,火药 // vt. 洒粉于,使变成粉,重击 // vi. 变成粉,涂粉
retrieve |  vt. 挽回,恢复,回忆,补偿 // vi. 找回猎物 // n. 取回,恢复
quite |  adv. 很,十分
loose |  n. 解放, 放任, 放纵 // adj. 宽松的, 不牢固的, 不精确的 // v. 释放, 放枪, 开船
civil |  adj. 国内的,公民的,文明的, 有礼貌的, 民用的
particular |  n. 个别项目, 详细说明 // adj. 特别的, 独有的; 挑剔的; 详细的
alcohol |  n. 酒精，酒, 醇
gratitude |  n. 感谢的心情
fireman |  n. 消防队员，司炉工
touch |  n. 触觉,接触,少许, 痕迹, 修饰 // vt. 触摸,吃,喝,触及,感动 // vi. 接触, 联系
diagnose |  v. 诊断 // vi. 判断,诊断(疾病) // vt. 诊断(疾病)
establish |  v. 建立, 确立, 创办
susceptible |  n. 易受影响者,易受感染者 // adj. 易受影响的,易感动的,容许
carpenter |  n. 木匠 // v. 做木工活
preliminary |  n. 初步行动, 准备, 初步措施 // adj. 初步的, 开始的, 预备的
crucial |  adj. 关键的,决定性的
relationship |  n. 关系, 关联
window |  n. 窗户
other |  adj. 别的,其他的 // pron. 另一个人(或事) // n. 其他人(或事)
declaration |  n. 宣布, 宣言
would |  aux.将，将要； 愿意； 会，打算； 大概 // v.(will 的过去式，用于转述)将
aboard |  adv. 在船上,在火车上,在飞机上 // prep. 上船，上飞机，上车
scan |  vt. 扫描；浏览；细看；详细调查；标出格律 // vi. 扫描；扫掠 // n. 扫描；浏览；审视；细看
clothe |  vt. 穿上, 覆上, 授以，赋予，表达
intersection |  n. 交集,十字路口,交叉点 // [计算机] 交集
staple |  n. 主要产物(要素),原料(地),U形(订书)钉 // adj. 主要的,重要的 // vt. 用订书机装订
current |  n. (水、气、电)流, 趋势 // adj. 流通的, 现在的, 最近的
incidence |  n. 发生(率),入射
stain |  n. 污染,污点,著色 // v. 沾染,染污,著色
tall |  adj. 高的
ankle |  n. 踝, 踝关节
silence |  n. 沉默,寂静 // v. 使沉默,使安静 // vt. 使安静,使沉默
render |  vt. 使成为, 提供, 报答, 着色; 执行, 实施 // vi. 给予补偿 // n. 交纳, 粉刷, 打底
versatile |  adj. 多才多艺的,多方面的，通用的，
explain |  vt. &vi. 解释,说明
scope |  n. 能力，范围，眼界，机会，余地 // vt. 仔细研究
laser |  n. 激光
warm |  adj. 暖和的,快要发现的,热心的,新鲜的 // vt. &vi.(使)变暖，（使）变得更友好, 加温 // adv. 温暖地
slogan |  n. 标语,口号
questionnaire |  n. 调查表
exempt |  n. 免税者,被免除义务者 // adj. 免除的 // v. 使免除
embarrass |  vt. 使...困窘,阻碍 // vi. 变得困窘
key |  adj. 主要的,关键的 // n. 钥匙,关键,答案,按键,音调 // vt. 上锁,调节,提供解答,键入 // vi. 使用钥匙
rake |  n. 耙子, 集赌金工具, 向船尾的倾斜 // v. 向船尾, 了望, 用耙子
lap |  n. 下摆,膝盖,舐声,一周 // vt. 包围, 抱...在膝上, 重叠, 舔, 拍打, 泼溅 // vi. 重叠, 围住, 轻拍, 舔
educate |  v. 教育,培养 // vt. 教育
stubborn |  adj. 顽固的, 倔强的，难对付的
efficient |  adj. 效率高的,有能力的
otherwise |  adv. 否则,不同地,在不同方面 // pron. 其他 // adj. 不同的
bury |  vt.埋葬，葬； 为…举行葬礼； 隐藏，埋藏，遮盖，掩蔽； 专心致志于，埋头于，沉溺于
hug |  n. 紧抱,拥抱 // vt. 紧抱,固执,挨着, 停靠 // vi. 紧抱, 紧紧靠着
house |  n. 房子,住宅,全家人,议院 // vt. 提供住,安置, 收容 // vi. 居住, 躲避
naked |  adj. 裸体的,无掩饰的,明白的,手无寸铁的
plot |  n. 阴谋, 情节，图, (小块)土地， // v. 绘图, 密谋, 计划，标示位置
enclosure |  n. 附件,围墙,围绕
textile |  adj. 纺织的 // n. 纺织品
saint |  n. 圣人,圣徒 // vt. 把...封为圣人
foolish |  adj. 愚蠢的，荒谬的，可笑的
load |  n. 负荷, 重担, 装载量 // v. 装载, 装填, 担负, 给(枪)装子弹 // [计算机] 装入
arbitrary |  adj. 任意的, 专制的, 武断的, 霸道的
despise |  vt. 轻视
advantage |  n. 优势,有利条件 // vt. 有利于
peaceful |  adj. 安宁的, 和平的
northern |  adj. 北部的, 北方的
glow |  n. 赤热,光辉,热情 // vi. 发红光,红光焕发
drawback |  n. 不利点,退税
appendix |  n. 附录,阑尾
wheel |  n. 轮子,周期,旋转运动 // vi. 旋转,转动 // vt. 推或拉车,传送,打圈,装以车轮
flow |  vi.流； 垂； 流出； （谈话、文体等）流畅 // n.流动； 滔滔不绝； 涨潮； 连贯 // vt.使泛滥； 淹没； 排出
tune |  n. 旋律,音准,数量 // vt. 调音(频),调节,使和谐 // vi. 和谐,调频
bare |  adj. 赤裸的,显露的,极少的,仅仅的 // vt. 使赤裸,露出
require |  v. 需要, 要求
commence |  v. 开始；着手；<英>获得学位
pollute |  v. 弄脏,污染 // vt. 污染
quarterly |  adj. 季度的 // adv. 每季一次 // n. 季刊
delay |  n. 耽搁,迟滞 // vt. 耽搁,延迟 // vi. 耽搁
radar |  n. 雷达
hot |  adj. 热的,热情的,辣的,性感的 // adv. 激动地,快速地 // n. 最高温度,滚烫的东西
tour |  n. 旅游, 观光旅行, 任期 // v. 旅行, 周游
wherever |  adv. 无论什么地方，在......的各个地方 // conj. 无论在哪里
both |  adj.二者，两者都 // pron.二者 // adv.二者，二者都 // conj.不仅…而且…，…和…都
literally |  adv. 逐字地, 按照字面上地, 不夸张地
another |  adj. 另一,再一 // pron.&amp;prep. 另一个
squeeze |  n. 压榨,榨出的少量,佣金,经济拮据 // vt. 紧握,挤压,使经济困难 // vi. 让步,压迫,险胜
fragrant |  adj. 芬香的,馥郁的,愉快的
navigation |  n. 航行, 航海, 导航
rescue |  n. 援救,解救,营救队 // vt. 援救,救出,营救
should |  verb auxiliary. 应该,竟然,可能
juice |  n. 细胞液,内在本质,汽油,果汁,唾液, 体液 // vt. 加液体,榨出...的汁液
island |  n.岛，岛屿 // vt.使孤立
punctual |  adj. 严守时刻的,准时的,正点的
linger |  vt. 消磨, 无所事事 // vi. 逗留,消磨,徘徊,漫步
real |  adj. 实际的,现实的,真的,真实的 // adv. 非常 // n. 真实的事, 真实
episode |  n. 插曲,插话,(作品的一段)情节,有趣的事件
moment |  n. 片刻，瞬间，准确时刻，非常重要的时机，力矩
timely |  adj. 及时的,适时的 // adv. 及时的
assurance |  n. 保证,确信,肯定,自信,(人寿)保险
precedent |  adj. 在前的,在先的 // n. 先例,前例
transition |  n. 过渡,转变
buy |  n. 合理的价格,购买 // vt. 买,换得,收买,接受 // vi. 购买
fiction |  n. 小说,虚构
reflection |  n. 反映,映像,折射,沉思,影响
ashore |  adv. 在岸上, 上岸
mistake |  n. 错误,误会 // vt. 弄错,误认 // vi. 犯错
miracle |  n. 奇迹
hit |  n. 打(击),冲撞,讽刺,成功.一次毒品的剂量,点击量 // vt. 打(击),碰撞,偶然发现,要求,符合 // vi. 打(击),袭击,达到
mainland |  n. 大陆, 本土
vision |  n. 视觉,先见之明,光景,视力,眼力,幻想，影像 // vt. 幻想
truth |  n. 事实,确实,真理,现实
statesman |  n. 政治家, 国务活动家
mistress |  n. 主妇, 女主人, 情妇
accuracy |  n. 准确(性), 精确度
inner |  adj. 内部的,里面的,内心的 // n. 里面,内部
patch |  n. 片,补丁,碎片 // vt. 补缀,掩饰,平息
bait |  n. 饵,引诱 // vt. 嘲笑,纵犬攻击,以饵引诱,放饵
overlook |  v. 俯看, 远眺, 没注意到
estate |  n. 财产,房地产,状态,遗产
magic |  adj. 有魔力的, 神奇的 // n. 魔法, 魔术 // vt. 使用魔(变出等)
sell |  vi. 卖,促销 // vt. 出让,背叛,出卖,出售 // n. 欺骗
jealous |  adj. 妒忌的,戒备的
hardly |  adv. 几乎不
royal |  adj. 王室的,盛大的,极度的 // n. 贵族,顶帆
colleague |  n. 同事
fountain |  n. 喷泉,源泉,储水容器,泉水 // vt.& vi. 使像喷泉一样流
experimental |  adj. 实验(性)的, 试验(性)的
best |  adj. 最好的 // adv. 最,最好地 // n. 最好的人(或物) // vt. 胜于
scrape |  n. 刮掉,擦掉,刮擦声 // vt.& vi. 刮掉,擦掉
vivid |  adj. 生动的,强烈的,鲜艳的,清晰的,逼真的
rejoice |  v. 使...欢喜, 高兴
alienate |  v. 使...疏远,离间,让与
nucleus |  n. 核,核心,细胞核,原子核
hurry |  n. 骚乱,匆忙, 急需 // vt. 催促, 加快, 迅速处理 // vi. 快速移动
actress |  n. 女演员
suggestion |  n. 建议, 意见, 迹象, 暗示, 联想
collective |  adj. 集体的,共同的 // n. 集体
country |  adj. 国家的, 农村的 // n. 国家，乡村，区域
petrol |  n. 汽油
round |  n. 圆,(某种圆形)交谊舞,常规活动,一局(轮) // adj. 圆的,微胖的,完整的,坦率的,圆满完成的 // adv. 环形地 // vt. 弄圆,绕行,使...完全,使成为整数 // vi. 变圆(胖),弯曲 // prp. 围绕,遍及
differentiate |  vt. 识别, 使差异, 求导数, 区分, 区别对待 // vi. 区别,变异
fairly |  adj. 公平地, 相当 // adv. 相当地
somewhere |  adv. 在某处，到某种程度，大约，差不多
testimony |  n. 证言,证据
outside |  adv. 在外面 // n.&amp;adj. 外部 // prep. 在...外 // pron. 在...外边
conference |  n. 会议
haul |  n. 拖;大批赃物;一网的捕获量;拖运货物的距离 // vt. 用力拖拉,用车运送,改变方向,把某人带上来审问或训斥 // vi. 拉,行进,提供交通,改变风向
supper |  n. 晚餐,晚饭
rack |  n. (行李)架,拷问台,齿轨 // vt. 折磨,使痛苦,拷问 // vi. 顶风飞行
prick |  v. 刺, 穿, 受责备 // n. 扎, 逗点, 锥
your |  pron. 你的, 你们的
bump |  n. 撞击,表面隆起,肿块 // vt.& vi. 碰撞,颠簸而行
amuse |  v. 消遣, 娱乐, 使...发笑
rectify |  vt. 订正,矫正,改正
bold |  adj. 大胆的,粗体的,醒目的，无礼的,陡峭的
versus |  prep. 对；与...相对；对抗
pleasant |  adj. 令人愉快的,舒适的
steamer |  n. 汽船, 轮船
impose |  vi. 利用；欺骗；施加影响 // vt. 强加；征税；以…欺骗
date |  n. 日期,约会,枣椰子 // vt. 约会,定日期 // vi. 追溯到 // n.[计算机] DOS命令 : 显示或设置系统日期
verb |  n. 动词
stick |  vt.& vi.粘贴； 张贴； 插入； 刺入 // vt.容忍； 产生作用； （尤指迅速或随手）放置； 阻延或推迟 // n.棍棒，棍枝； 枝条； 操纵杆； 球棍
discount |  n. 折扣, 贴现率 // vt. 打折扣, 贴现, 不重视，不全信 // vi. 贴现, 减息贷款
self |  n. 自我, 自己, 本身
doom |  n. 命运,不幸,宣告,判决 // vt. 命中注定,宣告
inject |  v. 注射
together |  adv. 一起，共同，相结合，同时地，协调地 // adj. 头脑清楚的，镇定的
possible |  adj. 可能的
inaugurate |  v. 举行就职典礼,举行仪式 // v. 开始,开创
alike |  adj. 相似的,同样的 // adv. 一样,以同样的方式
ear |  n. 耳朵, 听觉, 倾听, 麦穗 // vi. 长出麦穗
dealer |  n. 经销商；商人；发牌者，庄家；[俚语]毒品贩子，贩毒者
impossible |  adj. 不可能的
slope |  n. 倾斜,斜坡,斜面,斜线 // vt. 使倾斜 // vi. 倾斜,有坡度
terrific |  adj. 极好的,非常的,极度的
tray |  n. 盘,托盘,碟
harness |  n. 马具,系在身上的绳子,甲胄 // vt. 束以马具,披上甲胄,利用(产生动力)
furnish |  vt. 布置,提供,装备
noticeable |  adj. 显而易见的
bride |  n. 新娘
Mercury |  n. 水银, 水星
survey |  n. 调查; 纵览, 视察, 测量 // vt. 审视, 视察, 通盘考虑, 调查; 勘测 // vi. 测量, 勘测
reconcile |  vt. 和解,调和,妥协 // vi. 调和
spaceship |  n. 宇宙飞船
morality |  n. 道德, 美德, 品行, 道德观
secret |  adj. 秘密的,机密的 // adv. 秘密地 // n. 秘密
intelligence |  n. 理解力, 智力, 情报, 情报工作, 情报机关
minute |  adj. 微小的,不重要的,详细的 n. 分钟,一会儿,会议记录 vt. 记录
cafeteria |  n. 自助餐厅 // adj. 有多种选择的
route |  n. 航线,路线,途径 // vt. 按路线发送, 改变路线
somewhat |  adv.稍微； 有点； 达到某种程度 // n.少量； 某些数量； 某种程度
appearance |  n. 外表,出现,出场
constitution |  n.建立，组成； 体格； 构成方式； 宪法
gold |  adj. 金色的,金制的 // n. 金子,金币,金黄色,金牌
diligent |  adj. 勤奋的, 用功的
inherit |  vi. 继承 // vt. 继承,遗传
coupon |  n. 试样(配给票, 息票, 附单)
pump |  n. 抽水机, 打气筒, 心脏, 抽水, 轻软舞鞋 // vt. 抽水, 打气, 用泵输送, 盘问, 涌出 // vi. 用泵抽水, 快速上下(或内外)运动
spontaneous |  adj. 自发的, 自然产生的
heir |  n. 继承人
vicinity |  n. 邻近,周边地区
peak |  n. 山顶,顶点,帽舌 // vi. 到达高点,消瘦 // vt. 使到达顶峰,竖起 // adj. 处于顶峰状态的
sum |  n. 总数(计),金额,顶点,概略,一笔钱 // vt. 总计,概括 // vi. 总计
subject |  n. 科目, 主题; 缘由 // n. (君主国)国民; 实验对象 // adj. 服从的, 易患的 // vt. 使隶属, 使服从; 使遭遇
maybe |  adv. 大概,也许 // n. 不确定性
glorious |  adj. 光荣的, 辉煌的
sufficient |  adj. 足够的, 充分的
how |  adv. 如何,怎样,多么,多少 // conj. 如何,怎样,以...方式 // n. 方式
nose |  n. 鼻子, 突出部分, 嗅觉 // v. 嗅，嗅到
portrait |  n. 肖像,画像 // adj. (文件页面)竖的
hole |  n. 孔,洞,穴 // vt. &vi. 挖洞,掘坑,进洞
oral |  adj. 口头的 // n. 口试
archaeology |  n. 考古学，古迹，文物
humor |  n. 幽默,诙谐,心情 // v. 迎合,牵就,顺应
ribbon |  n. 缎带,色带,带状物 // vt. 用丝带装饰,撕碎
underlying |  adj. 在下面的, 基本的, 隐含的
classic |  n. 古典作品,杰作,第一流艺术家 // adj. 第一流的,最优秀的,古典的
simple |  adj. 简单的,无辜的,天真的,基本的,纯粹的 // n. 平民,精神病人,草药
pause |  n. 暂停,中止,犹豫不决 // vi. 停顿,中止 // vt. 使停顿
receive |  vt. 收到,接受,迎接,容纳,遭受,相信 // vi. 接到,获得
foundation |  n. 基础；地基；基金会；根据；创立
hypocrisy |  n. 伪善
descent |  n. 下落,家世,倾斜,侵袭
chicken |  n. 鸡,鸡肉,胆小,懦夫 // adj. 懦弱的,胆小的
finally |  adv. 最后, 最终
seize |  vt. 抓住,攻占,理解,侵袭 // vi. 抓住,卡住,终止
beneath |  adv. 在下方 // prep. 在下方,在...之下
mutton |  n. 羊肉
trick |  n. 诡计，欺诈，把戏，诀窍 // vt. 戏弄,欺骗 // adj. 有诡计的，有阴谋的
deliberate |  adj. 故意的,深思熟虑的, 从容不迫的 // vi. 仔细考虑 // vt. 研讨
soldier |  n. 士兵, 军人
global |  adj. 全球性的, 全局的
hinder |  adj. 后面的 // vt. 阻碍,打扰 // vi. 阻碍
monetary |  adj. 货币的,金融的
dock |  n. 码头,船坞,(造)修船厂,尾巴的骨肉部分,被告席 // vt. 进港,(减)剪短,对接 // vi. 进港,对接
fulfill |  vt. 履行,完成
requirement |  n. 要求,必要条件
follow |  vt. 跟随,沿行,遵循,听得懂 // vi. 跟着做,之后是 // n. 跟随
dense |  adj. 不易看透的, 密集的, 浓厚的, 愚钝的
thermal |  adj. 热的,热量的,保热的 // n. 上升的热气流
microscope |  n. 显微镜
candle |  n. 蜡烛
cross |  n. 十字架,十字架形物件,交叉,交叉路 // adj. 生气的,交叉的 // vt. 划叉剔除，画横线于 // vi. 穿越 // prep. 穿过
departure |  n. 离开,出发,分歧
noon |  n. 正午, 中午，全盛期，顶点
exclude |  vt. 除外,排除,拒绝 // [计算机] 排除
smog |  n. 烟雾
natural |  adj.自然的； 物质的； 天生的； 不做作的 // n.自然的事情； （生来的）白痴； [乐]（风琴等的）白键
strife |  n. 争吵，冲突，倾轧，竞争
negligible |  adj. 可以忽略的,微不足道的
fence |  n. 围墙, 剑术 // v. 用篱笆围住, 练习剑术, 防护 // [计算机] 栅栏
handle |  n. 柄,把手 // vt. 买卖,处理,操作 // vi. 驾驭
car |  n. 小汽车, 车厢, 吊舱
noise |  n. 声音,响声,喧哗声,噪声 // vt. 谣传 // vi. 大声说话, 发出噪音
monster |  n. 怪物，巨物，有威慑力的力量，恶人，超于常人的成功 // adj. 巨大的，庞大的
edge |  n. 边,边缘,刀口 // vt. 给...加上边,缓慢横过,使逐渐丧失 // vi. 徐徐前进
interesting |  adj. 有趣的
lesson |  n. 课，教训 // vt. 给...上课,教训
sail |  n. 帆,乘船航行 // vt. 乘船航行,浮游,启航 // vi 驾船航行
bosom |  n. 胸；胸怀；中间；胸襟；内心；乳房；内部 // vt. 怀抱；把…藏在心中 // adj. 知心的；亲密的
obey |  vt. &vi. 服从,听从
pretend |  vt. &vi. 假装,伪称 // adj. 假装的,赝品的,模拟的
plight |  n. 困境,境况,誓约,艰难 // vt. 宣誓,保证,约定
essential |  adj.基本的； 必要的； 本质的； 精华的 // n.必需品； 基本要素； 必不可少的东西
scatter |  n. 散布, 零星少量 // vt. 驱散, 散播 // vi. 分散, 消散
panel |  n.镶板； 面； （门、墙等上面的）嵌板； 控制板 // vt.选定（陪审团）； 把…分格； 在…上置鞍垫； 把…镶入框架内
seek |  n. 找寻 // v. 寻求,寻找,搜索
millimeter |  n. 毫米
escort |  n. 护送者, 护卫者, 护航舰 // vt. 护卫, 护送，伴游
district |  n. 区,地区,行政区 // vt. 划分区域,划分地区
breathe |  vi. 呼吸 // vt. 轻声说,流露感情,注入
document |  n. 文件,公文 // vt. 记载,用文件等证明 // [计算机] 文档
birth |  n. 出身, 血统, 出生, 诞生, 出现, 起源
discover |  vt.& vi.发现
practitioner |  n. 从业者
ozone |  n. 臭氧, 新鲜空气
Marxist |  adj. 马克思主义的 // n. 马克思主义者
irrigate |  vi. 进行灌溉 // vt. 灌溉
resemble |  v. 相似, 类似, 像
grab |  vt. &vi. 抓取,抢去，吸引注意 // n. 抓,接应,掠夺 // n.不法所得； 被抓住的人； 抓取装置
eminent |  adj. 著名的, 卓越的
jar |  n. 不和谐,刺耳声,震动,震惊,广口瓶 // vi. 发刺耳声,不协调,震动 // vt. 扰乱,使不稳定
brush |  n. 刷子,画笔,轻擦,小冲突, 灌木丛 // vt. 用刷子清洗,画,拭去,打发 // vi. 轻擦,拂拭
formation |  n. 构造,编队,形成
collapse |  n. 崩溃,倒塌,暴跌 // vi. 倒塌,崩溃,瓦解,折叠 // vt. 倒塌,缩减
dive |  n. 潜水,跳水 // vt. 跳水,俯冲 // vi. 把...伸入
casual |  adj. 偶然的, 随便的, 非正式, 漫不经心的
prepare |  vt.准备； 预备（饭菜）； 配备； 使（自己）有准备 // vt.& vi.筹备，进行各项准备工作； 做好思想准备； 作出，制订； 锻炼（身体等），训
method |  n. 方法,办法,条理
privilege |  n. 特权,特别恩典,基本人权,荣幸 // vt. 给特权,免除
candidate |  n. 候选人, 求职者
footstep |  n. 脚步，脚步声, 足迹
tile |  n. 砖瓦 // vt. 铺以瓦,铺以瓷砖
scandal |  n. 丑闻,中伤,反感,耻辱
slam |  n. 砰然声,猛然,猛烈的抨击 // vt. 猛然关上,砰地关上,猛烈抨击 // vi. 砰地关上,猛攻,猛烈抨击
without |  adv.在外部； 户外； 缺少； 没有或不显示某事物 // prep.没有，缺乏； 在外面 // conj.除非，如果不
enter |  vi. 进入,参加,开始,上台,进入角色 // vt. 进入,报名,开始,加入,报价,提出 // [计算机] 送入
smell |  n. 味道,气味,嗅 // vt. 闻,探出,发臭 // vi. 闻,发臭
youngster |  n. 年青人, 少年，小伙子，儿童，幼小动物
rely |  v. 信赖,倚赖,信任
now |  n. 现在,此刻 // adj. 现存的, 目前的 // adv. 现在,立刻 // conj. 既然 // abbr. =National Organization of Women 全国妇女组织
procedure |  n. 程序, 手续, 步骤; 常规的做法
caution |  n. 警告,戒备措施,慎重,吸引人眼球的物品或人 // vt. 警告
orient |  adj. [诗]东方的,闪闪发光的 // n. 东方,珍珠,东方国家 // vt. 使向东,确定方向,定位,以...为参照,使熟悉或适应 // vi. 转向东方
interface |  n. 界面,接触面 // vt. 连接,作接口 // vi. 连接
article |  n. 文章,物品,条款,冠词 // vt. 定契约
host |  n.[计算机]主机； 主人，东道主； 节目主持人； 酒店业主 // vt.当主人； 主办宴会，主持节目； 款待，做东 // vi.做主人，做东道主
fashion |  n. 流行,风尚,时样,时装 // v. 形成,造,作
queue |  n. 行列,长队 // v. 排队 // vi. 排长队
profitable |  adj. 有益的, 有用的
careful |  adj. 小心的, 仔细的
compress |  vt. 压缩, 压榨 // n. [医]敷布
driver |  n. 驾驶员, 司机
bowel |  n. 肠
refuse |  n.废物,垃圾 // vt. &vi. 拒绝 // adj. 无用的
revise |  n. 校订, 修正, 再校稿 // v. 校订, 修正, 校正
reason |  n. 理由,原因,理智,理性 // vt. 说服,总结 // vi. 规劝,下判断
shopkeeper |  n. 店主，零售商人
until |  prep. 直到...为止 // conj. 直到...时才...
avail |  vi. 有利 // vt. 有用 // n. 益处
hatred |  n. 憎恶,憎恨,怨恨
bin |  n. 箱柜 // vt. 放入箱内 // [计算机] DOS文件名: 二进制目标文件
use |  n. 运用,用法,使用权,适用 // vt. 使用,利用,对待 // vi. 吸毒
fail |  vi. 衰退,失败,不及格 // vt. 辜负,缺少,未能做 // n. 不及格
graphic |  adj. 生动的,图表的 // n. 图表
optional |  adj. 可以任选的,非强制的
unity |  n. 个体, 一致, 结合
throne |  n. 王座, 君主
musical |  adj. 音乐的 // n. 音乐片
sometime |  adj. 以前的, 某一时间 // adv. 改天, 来日
ahead |  adv. 向前地,将来地,占优势,提前
deficit |  n. 赤字,不足，缺乏
numerical |  adj. 数字的, 用数字表示的
illusion |  n. 幻觉,错觉,错误的信仰(或观念)
magnetic |  adj. 有磁性的,有吸引力的,催眠术的
meet |  n. 集会,比赛, 运动会 // adj. 适宜的,合适的 // vt. 遇见,引见,经历,结识,对付,满足,支付 // vi. 相遇,集合,交锋,相交
settle |  n. 有背的长凳 // vt. 安放,安顿,解决,决定,付清(欠款) // vi. 定居,降落
deem |  v. 认为, 相信
entire |  adj. 全部的,完整的，同性质的，纯正的，全面的
